Rating,cleaned_text_str
1,ambience good food quite good saturday lunch cost effective good place sate brunch one also chill friend parent waiter soumen da really courteous helpful
1,ambience good pleasant evening service prompt food good good experience soumen da kudos service
1,must try great food great ambience thnx service pradeep subroto personal recommendation penne alfredo pasta also music background amazing
1,soumen da arun great guy behavior sincerety good food course would like visit place
1,food goodwe ordered kodi drumstick basket mutton biryani good thanks pradeep served well enjoyed ambience also good
1,ambiance good service good food apradeecp subro best service food good papiya good hostess ur caption good 4star restaurant
1,nice place ambience different food ordered tasty service also gud worth visit reasonable well really must visit place
1,well reading many review finally visited placeambience good coming food crispy corn nice tawa fish ok basket biryani disappointed u biryani ok flattering claimed staff polite prompt especially pradeep suman
1,excellent food specially like spicy food courteous staff shubro pradeep papiya gave excellent service corporate team dinner overall great team dinner party
1,came birthday treat close friend perfect place treat like hospitable cooperative staff food delicious ambience really good music lighting chili honey lotus stem must try special mention papiya took good care u
1,service great food awesome service staff manab papiya courteous attentive would like come frequently place
1,good ambience amazing food good service friendly staff pradeep papiya shuvro definitely visit again! loved design menu card
1,food good soup expected starter ordered honey chilli lotus stem must try vegan ppl service great frequent visit papiya know experience also food really impressive
1,food good telangana kodiak fry must trymutton biriyani goodpapiya helped choose best dish attended wellmust visit
0,ordered corn cheese ball manchow soup paneer shashlik sizzler sizzler stale paneer smelling waiter impolite even accept mistake never going
1,food ambience fantastic waiter manav maji really quick service cheese ball must try starter scrumptious
1,came lunch food good tasty tried buffet item veg nonveg tasty ambience service also good staff courteous shubhamtraveltaleswordpresscom
1,best thing place food favorite go dish definitely alfredo pasta although item good well service behavior staff topnotch attended mr soumen da extremely polite definitely visit soon
1,polite friendly staff nice ambience good spread menu drink awesome service good manav looking forward seeing
1,food really good vegetarian item including paneer mushroom kofta additionally service papiya shuvro really good
1,beautiful cozy classy time place truly recommended special day percent corporate discount treat cotorie well without burning hole ur pocket also interior done well love vibe menu honey chilli lotus stem basket biryani sizzling brownie favourite also loved tomato basil shorba different creamy standard restaurant definitely making visit beyond flavour special mention papiya hostess evening excellent service
1,please good quite expensive coming taste rate cant click better picture wen visit nightbest day time pic
1,service good fast even people polite well behaving manav pradeep good hope everyone behaves way
1,farewell feast recently enjoyed well good management boy gave complimentary food made u happy food perfect dessert starter wonderful
1,excellent experience mouthwatering food good ambience must go place hyderabad served shubhro papiya awesome behaviour enjoyable evening friend
1,place good live music superb beautiful voice food nice n loved lightningentrance also nice
1,sonalin great voice must visit place became fan food good star side live music lightening everything awesome
1,heard voiceshe beautiful amazing voice love voice way sings became fan sonalin priyadarshini good place must visit food also nice
1,sonalin good singer city beautiful face beautiful face must visit place beautiful live music loved loved food well good lightning
1,food descent enough desert option also good starrers also tasty one bad experience ee waiting time even though booked table prior time
1,excellent food good service soumen da ambience good live music food served timely decor restaurant amazing well
1,review place would 5star ambeince service staff lack lot place even though food good place like special hey papiya shuvro!
1,nice experience food amazing friendly staff welcoming attitude papia friendly accommodating good ambiance definitely recommend place
1,dinner friend menu perfect something everyone service awesome papia accommodating good ambience amazing live music back definitely!
1,service experience good especially papiya food served good tasty served well would like visit beyond recommend friend food reasonable price
1,service food ambiance nice staff humble taking order serving food live music like cherry cake
1,food ordered banjara tangdi starter best among papiya shuvro well mannered service best among
1,staff polite responsive food best part better ambience also awesome met two person named papiya shuvro best service food item liked basket biryani kodi drum stick finally loved
1,came parent ordered thai peneer tikka kaju pulao veg biryani kaju pulao veg biryani really good decent place go family shubro papiya served well
1,well we’re new hyderabad fact say it’s probably best place i’ve eaten buffet hyderabad period especially id like thank shurvo papiya amazing service double metha good overall worthwhile experience
1,wonderful place awesome ambience best visit night see pretty light enjoy savory food shubro papiya good service
1,good ambience great servicewe buffet peoplethe waiter patient even got noodle replaced since one served buffet went bad shoutout shubro pradeep took care entire afternoon
1,lunch today beyond flavor food good delicious awesome service provided soumen da shuvro would highly recommend restaurant
0,reason giving star longlong time wait table went friday afternoon waited almost 30mins get table lost patience left another restaurant v get table even aftr waiting long timei think restaurant management take consideration try decrease waiting time customer
